공동주택 안전사고 지수,지역환경공공데이터,2021-12-10 19:01:01 최초등록 , 2021-12-17 19:23:31 업데이트됨,                            CSV,                            무료 ,43,42,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_251
공동주택 주거안전(지수),지역환경공공데이터,2021-12-10 19:02:42 최초등록 , 2021-12-17 19:22:50 업데이트됨,                            CSV,                            무료 ,43,43,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_253
공동주택 주거안전(예측),지역환경공공데이터,2021-12-10 19:04:56 최초등록 , 2021-12-17 19:22:38 업데이트됨,                            CSV,                            무료 ,43,64,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_254
공동주택 주거위험,지역환경공공데이터,2021-12-10 19:05:43 최초등록 , 2021-12-17 19:22:08 업데이트됨,                            CSV,                            무료 ,43,74,           매분기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_255
관서별 사건 분석 통계,치안데이터,2021-12-22 10:27:38 최초등록 ,  업데이트됨,                            CSV,                            무료 ,44,0,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_339
신규 다크웹 포럼 게시글,디지털치안데이터,2021-12-29 15:05:47 최초등록 , 2021-12-29 15:11:26 업데이트됨,                            텍스트,                            미정,44,0,,https://www.bigdata-policing.kr//product/view?product_id=PRDT_342
악성코드 IP,디지털치안데이터,2021-11-18 14:08:23 최초등록 , 2021-11-23 09:52:07 업데이트됨,                            CSV,                            미정,43,0,           매일,https://www.bigdata-policing.kr//product/view?product_id=PRDT_180
아동학대 융합데이터,치안데이터,2021-11-24 15:40:08 최초등록 , 2021-11-24 15:51:13 업데이트됨,                            CSV,                            무료 ,43,3,           매년,https://www.bigdata-policing.kr//product/view?product_id=PRDT_189
도시구분과 관서별 여성안전지킴이집,지역환경공공데이터,2021-11-25 18:27:27 최초등록 , 2021-11-26 10:19:04 업데이트됨,                            공간,                            무료 ,43,3,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_196
도시구분과 관서별 아동안전지킴이집,지역환경공공데이터,2021-11-25 18:30:12 최초등록 , 2021-11-26 10:25:16 업데이트됨,                            공간,                            무료 ,43,2,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_197
도시구분과 관서별 오락시설,지역환경공공데이터,2021-11-25 18:31:45 최초등록 , 2021-11-26 10:25:23 업데이트됨,                            공간,                            무료 ,43,2,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_198
도시구분과 관서별 기타갬블링시설,지역환경공공데이터,2021-11-25 18:32:46 최초등록 , 2021-11-26 10:25:29 업데이트됨,                            공간,                            무료 ,43,0,           매반기,https://www.bigdata-policing.kr//product/view?product_id=PRDT_199
